,,,,nation,pos,age,born,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,,,,,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Brighton,Simon Adingra,CIV,"FW,MF",22,2002,12.2,548,10,66,174,315,76,548,50,21,42.0,27,54.0,366,2514,1300,50,21,27,39,12,388,136
ENG-Premier League,2425,Brighton,Solly March,ENG,"FW,MF",30,1994,1.9,118,3,12,33,73,7,118,4,1,25.0,3,75.0,57,398,167,5,2,3,3,1,67,20
ENG-Premier League,2425,Brighton,Tariq Lamptey,GHA,DF,23,2000,9.6,535,29,161,224,154,11,535,31,10,32.3,18,58.1,292,2081,1034,32,17,3,11,5,302,45
ENG-Premier League,2425,Brighton,Yankuba Minteh,GAM,"FW,MF",20,2004,20.4,836,30,135,228,491,146,836,98,46,46.9,43,43.9,481,3573,2105,90,24,67,53,28,511,201
ENG-Premier League,2425,Brighton,Yasin Ayari,SWE,MF,20,2003,21.8,1233,58,275,624,354,45,1233,45,18,40.0,18,40.0,655,3244,1466,30,25,6,38,22,801,61
ENG-Premier League,2425,Chelsea,Axel Disasi,FRA,DF,26,1998,4.0,323,17,110,175,40,2,323,1,1,100.0,0,0.0,196,953,519,6,3,0,1,3,242,2
ENG-Premier League,2425,Chelsea,Benoît Badiashile,FRA,DF,23,2001,3.7,336,31,138,186,13,0,336,1,0,0.0,1,100.0,177,660,340,3,5,0,1,0,247,2
ENG-Premier League,2425,Chelsea,Christopher Nkunku,FRA,FW,26,1997,10.2,448,10,52,183,217,52,448,27,10,37.0,14,51.9,280,1368,628,17,16,13,18,17,356,68
ENG-Premier League,2425,Chelsea,Cole Palmer,ENG,"MF,FW",22,2002,35.5,1851,23,150,824,901,144,1846,113,51,45.1,46,40.7,1173,7917,3804,120,76,41,71,37,1366,187
ENG-Premier League,2425,Chelsea,Enzo Fernández,ARG,MF,23,2001,32.7,2210,37,346,1129,751,81,2210,55,26,47.3,21,38.2,1211,5652,2735,60,55,9,29,28,1622,126
ENG-Premier League,2425,Chelsea,Filip Jørgensen,DEN,GK,22,2002,6.0,202,174,201,1,0,0,202,0,0,,0,,145,676,423,0,0,0,0,0,139,0
ENG-Premier League,2425,Chelsea,Jadon Sancho,ENG,FW,24,2000,19.6,975,13,117,283,585,121,975,97,45,46.4,40,41.2,653,4450,2435,102,35,57,30,21,760,225
ENG-Premier League,2425,Chelsea,Joshua Acheampong,ENG,DF,18,2006,1.9,137,7,48,81,8,3,137,2,1,50.0,0,0.0,106,709,409,0,2,0,2,0,111,0
ENG-Premier League,2425,Chelsea,João Félix,POR,"FW,MF",24,1999,4.1,272,2,26,128,125,30,272,31,10,32.3,14,45.2,193,1248,712,21,13,5,6,4,218,30
ENG-Premier League,2425,Chelsea,Kiernan Dewsbury-Hall,ENG,"MF,FW",25,1998,2.9,184,5,30,96,58,6,184,4,2,50.0,2,50.0,95,483,221,5,1,0,1,3,138,11
ENG-Premier League,2425,Chelsea,Levi Colwill,ENG,DF,21,2003,35.0,2904,383,1363,1417,140,36,2904,12,6,50.0,5,41.7,1621,7389,4028,14,12,1,14,8,2092,12
ENG-Premier League,2425,Chelsea,Malo Gusto,FRA,DF,21,2003,20.7,1595,64,387,772,451,43,1595,16,4,25.0,11,68.8,882,4513,2248,50,36,8,18,17,1072,85
ENG-Premier League,2425,Chelsea,Marc Cucurella,ESP,DF,26,1998,33.2,2244,119,677,1045,532,75,2244,15,4,26.7,9,60.0,944,4027,2336,35,22,2,28,7,1385,117
ENG-Premier League,2425,Chelsea,Marc Guiu,ESP,FW,18,2006,0.8,22,0,2,8,12,3,22,1,0,0.0,1,100.0,12,30,8,0,0,0,2,0,12,3
ENG-Premier League,2425,Chelsea,Mathis Amougou,FRA,MF,18,2006,0.1,9,1,2,4,3,0,9,0,0,,0,,7,25,5,0,1,0,0,1,6,0
ENG-Premier League,2425,Chelsea,Moisés Caicedo,ECU,"MF,DF",22,2001,37.2,2579,95,562,1570,476,15,2579,64,29,45.3,22,34.4,1409,6882,3384,43,38,2,37,25,1780,37
ENG-Premier League,2425,Chelsea,Mykhailo Mudryk,UKR,FW,23,2001,1.7,62,3,12,15,38,6,62,8,3,37.5,5,62.5,39,468,227,7,8,0,3,7,42,12
ENG-Premier League,2425,Chelsea,Nicolas Jackson,SEN,FW,23,2001,24.7,687,19,50,285,361,141,687,61,18,29.5,32,52.5,417,2510,1316,47,25,32,71,41,514,129
ENG-Premier League,2425,Chelsea,Noni Madueke,ENG,FW,22,2002,22.6,980,22,101,301,595,184,980,102,45,44.1,46,45.1,641,5413,3485,154,50,93,52,25,756,226
ENG-Premier League,2425,Chelsea,Pedro Neto,POR,FW,24,2000,25.2,1153,13,100,336,735,116,1153,104,34,32.7,46,44.2,746,6336,3342,126,57,45,45,30,838,253
ENG-Premier League,2425,Chelsea,Reece James,ENG,"DF,MF",24,1999,11.8,952,43,267,516,176,7,952,17,7,41.2,6,35.3,486,1877,822,7,4,1,7,9,607,12
ENG-Premier League,2425,Chelsea,Renato Veiga,POR,"DF,MF",21,2003,2.0,167,2,61,82,27,3,167,5,3,60.0,2,40.0,85,417,144,4,5,1,1,0,110,3
ENG-Premier League,2425,Chelsea,Robert Sánchez,ESP,GK,26,1997,32.0,1323,980,1311,12,0,0,1323,0,0,,0,,881,4456,2852,0,0,0,0,0,822,0
ENG-Premier League,2425,Chelsea,Roméo Lavia,BEL,MF,20,2004,8.9,493,17,109,319,71,1,493,16,10,62.5,6,37.5,295,1373,567,3,9,0,3,7,359,7
ENG-Premier League,2425,Chelsea,Shumaira Mheuka,ENG,MF,16,2007,0.0,2,0,0,0,2,1,2,0,0,,0,,1,0,0,0,0,0,0,0,2,0
ENG-Premier League,2425,Chelsea,Tosin Adarabioyo,ENG,DF,26,1997,15.7,1330,175,630,674,27,14,1330,6,4,66.7,1,16.7,777,3207,1809,5,2,0,4,0,1000,1
ENG-Premier League,2425,Chelsea,Trevoh Chalobah,ENG,DF,25,1999,10.1,774,73,331,389,59,12,774,5,2,40.0,1,20.0,426,1753,772,4,5,1,3,2,574,2
ENG-Premier League,2425,Chelsea,Tyrique George,ENG,FW,18,2006,2.0,70,1,11,21,39,9,70,5,3,60.0,2,40.0,46,373,209,9,1,5,3,0,53,22
ENG-Premier League,2425,Chelsea,Wesley Fofana,FRA,DF,23,2000,13.0,933,81,370,523,55,10,933,15,8,53.3,3,20.0,557,3149,1614,19,12,1,16,5,665,4
ENG-Premier League,2425,Crystal Palace,Adam Wharton,ENG,MF,20,2004,14.6,872,30,204,463,212,11,872,10,2,20.0,8,80.0,430,2014,1078,14,23,2,17,13,533,11
ENG-Premier League,2425,Crystal Palace,Asher Agbinone,ENG,MF,18,2005,0.1,8,0,0,2,6,0,8,2,0,0.0,1,50.0,5,53,23,2,0,0,0,1,5,1
ENG-Premier League,2425,Crystal Palace,Ben Chilwell,ENG,DF,27,1996,2.9,175,10,63,76,42,3,175,6,2,33.3,3,50.0,68,354,243,5,2,1,4,2,68,15
ENG-Premier League,2425,Crystal Palace,Caleb Kporha,ENG,DF,18,2006,0.1,11,1,4,2,5,0,11,0,0,,0,,4,46,36,1,1,0,0,2,3,0
ENG-Premier League,2425,Crystal Palace,Chadi Riad,MAR,DF,21,2003,1.0,90,5,41,49,1,0,90,0,0,,0,,58,318,232,2,0,0,1,0,69,0
ENG-Premier League,2425,Crystal Palace,Cheick Doucouré,MLI,MF,24,2000,5.0,263,11,56,165,45,4,263,5,2,40.0,2,40.0,133,581,280,2,7,1,4,7,160,7
ENG-Premier League,2425,Crystal Palace,Chris Richards,USA,DF,24,2000,21.4,1118,134,611,440,73,18,1118,6,1,16.7,5,83.3,517,2316,964,6,5,0,5,5,614,2
ENG-Premier League,2425,Crystal Palace,Daichi Kamada,JPN,MF,27,1996,17.4,937,19,208,496,240,32,937,19,7,36.8,9,47.4,485,2295,1121,25,19,6,16,20,600,56
ENG-Premier League,2425,Crystal Palace,Daniel Muñoz,COL,DF,28,1996,35.9,2010,119,568,826,637,107,2010,56,21,37.5,33,58.9,806,4046,1797,62,40,18,55,20,956,206
ENG-Premier League,2425,Crystal Palace,Dean Henderson,ENG,GK,27,1997,38.0,1308,1065,1303,4,1,1,1308,0,0,,0,,751,4483,2136,0,0,0,2,0,580,0
ENG-Premier League,2425,Crystal Palace,Eberechi Eze,ENG,"MF,FW",26,1998,28.8,1414,17,193,661,597,95,1412,138,67,48.6,62,44.9,840,5063,2380,69,48,22,55,45,907,153
ENG-Premier League,2425,Crystal Palace,Eddie Nketiah,ENG,"FW,MF",25,1999,11.5,412,11,47,176,198,67,412,31,11,35.5,16,51.6,246,1713,878,41,25,14,34,17,294,79
ENG-Premier League,2425,Crystal Palace,Ismaila Sarr,SEN,MF,26,1998,30.1,1091,48,180,411,511,135,1091,61,17,27.9,35,57.4,607,3721,2108,75,47,28,70,43,739,183
ENG-Premier League,2425,Crystal Palace,Jean-Philippe Mateta,FRA,FW,27,1997,29.4,739,26,64,350,340,94,737,46,20,43.5,22,47.8,400,2143,1048,45,22,10,72,45,539,122
ENG-Premier League,2425,Crystal Palace,Jefferson Lerma,COL,"MF,DF",29,1994,25.3,1406,124,469,703,244,29,1406,13,7,53.8,4,30.8,649,2478,1100,13,11,0,15,18,803,26
ENG-Premier League,2425,Crystal Palace,Jeffrey Schlupp,GHA,"MF,DF",31,1992,1.1,79,2,9,31,41,6,79,1,1,100.0,0,0.0,30,150,67,4,1,1,7,0,41,9
ENG-Premier League,2425,Crystal Palace,Joachim Andersen,DEN,DF,28,1996,1.0,93,14,38,50,5,0,93,0,0,,0,,49,189,103,1,1,0,0,1,67,1
ENG-Premier League,2425,Crystal Palace,Joel Ward,ENG,DF,34,1989,0.8,32,3,17,15,1,0,32,1,0,0.0,1,100.0,15,43,15,0,0,0,0,0,16,1
ENG-Premier League,2425,Crystal Palace,Jordan Ayew,GHA,"FW,MF",32,1991,0.2,12,0,0,7,5,1,12,0,0,,0,,6,25,12,0,0,0,0,1,9,1
ENG-Premier League,2425,Crystal Palace,Justin Devenny,NIR,MF,20,2003,5.6,279,8,53,149,83,8,279,4,2,50.0,2,50.0,134,701,333,5,5,1,17,3,167,13
ENG-Premier League,2425,Crystal Palace,Marc Guéhi,ENG,DF,24,2000,34.0,2131,311,1051,943,148,39,2131,15,12,80.0,2,13.3,1142,5574,2935,22,17,1,16,18,1330,10
ENG-Premier League,2425,Crystal Palace,Matheus França,BRA,"MF,FW",20,2004,0.6,33,2,5,11,17,7,33,0,0,,0,,20,130,85,4,1,3,2,0,22,4
ENG-Premier League,2425,Crystal Palace,Maxence Lacroix,FRA,DF,24,2000,34.6,1934,362,1184,672,85,45,1934,14,8,57.1,4,28.6,1030,4806,2203,8,6,0,21,6,1136,7
ENG-Premier League,2425,Crystal Palace,Nathaniel Clyne,ENG,"DF,MF",33,1991,5.4,273,18,111,125,37,3,273,1,0,0.0,1,100.0,158,651,314,6,2,3,5,2,178,8
ENG-Premier League,2425,Crystal Palace,Odsonne Édouard,FRA,"MF,FW",26,1998,1.3,45,1,4,23,18,8,45,1,0,0.0,1,100.0,24,117,56,3,1,2,4,1,26,7
ENG-Premier League,2425,Crystal Palace,Romain Esse,ENG,MF,19,2005,1.5,73,1,14,30,29,9,73,6,2,33.3,4,66.7,38,121,49,1,1,2,6,2,43,14
ENG-Premier League,2425,Crystal Palace,Trevoh Chalobah,ENG,DF,25,1999,11.8,594,66,275,276,51,14,594,10,6,60.0,2,20.0,278,1213,661,11,9,1,4,7,317,6
ENG-Premier League,2425,Crystal Palace,Tyrick Mitchell,ENG,DF,24,1999,34.4,1754,114,622,671,475,43,1754,38,16,42.1,17,44.7,820,3825,1771,63,36,9,38,30,902,171
ENG-Premier League,2425,Crystal Palace,Will Hughes,ENG,MF,29,1995,23.4,1203,48,295,615,308,17,1203,16,5,31.3,7,43.8,532,2718,1276,20,24,1,21,30,659,27
ENG-Premier League,2425,Everton,Abdoulaye Doucouré,MLI,MF,31,1993,28.5,1161,32,225,538,413,65,1161,45,24,53.3,21,46.7,604,2952,1396,42,26,8,38,38,750,96
ENG-Premier League,2425,Everton,Armando Broja,ALB,FW,22,2001,3.7,127,4,14,47,72,18,127,16,8,50.0,7,43.8,64,577,281,12,8,3,16,13,94,26
ENG-Premier League,2425,Everton,Ashley Young,ENG,DF,39,1985,20.8,1194,61,369,528,305,9,1194,20,7,35.0,9,45.0,487,2447,1378,24,26,1,11,1,618,32
ENG-Premier League,2425,Everton,Beto,GNB,FW,26,1998,17.0,520,29,51,233,242,86,520,38,19,50.0,17,44.7,267,1242,478,15,12,9,71,37,378,77
ENG-Premier League,2425,Everton,Carlos Alcaraz,ARG,"FW,MF",21,2002,8.5,378,15,63,168,156,19,378,18,9,50.0,7,38.9,211,1331,707,19,21,2,14,13,247,21
ENG-Premier League,2425,Everton,Dominic Calvert-Lewin,ENG,FW,27,1997,17.9,520,26,45,215,265,88,520,25,10,40.0,13,52.0,280,1445,463,23,8,17,77,33,417,112
ENG-Premier League,2425,Everton,Dwight McNeil,ENG,"MF,FW",24,1999,15.2,748,6,73,328,368,25,748,45,24,53.3,20,44.4,443,2674,1162,38,34,5,26,33,510,80
ENG-Premier League,2425,Everton,Harrison Armstrong,ENG,MF,17,2007,0.5,20,0,3,12,7,2,20,1,1,100.0,0,0.0,15,110,43,1,2,0,2,3,14,0
ENG-Premier League,2425,Everton,Idrissa Gana Gueye,SEN,MF,34,1989,34.0,1801,72,432,1045,336,21,1801,39,18,46.2,19,48.7,861,4046,1752,27,27,4,32,38,1048,27
ENG-Premier League,2425,Everton,Iliman Ndiaye,SEN,FW,24,2000,27.0,1084,36,219,451,464,83,1082,143,68,47.6,64,44.8,621,4800,2367,86,44,32,55,44,674,122
ENG-Premier League,2425,Everton,Jack Harrison,ENG,FW,27,1996,23.1,948,36,157,336,463,69,948,75,24,32.0,43,57.3,524,3153,1639,73,36,17,52,41,612,127
ENG-Premier League,2425,Everton,Jake O'Brien,IRL,DF,23,2001,17.5,900,93,374,390,139,22,900,10,4,40.0,5,50.0,391,1801,906,7,6,2,5,5,481,25
ENG-Premier League,2425,Everton,James Garner,ENG,"MF,DF",23,2001,17.7,977,40,226,511,248,15,977,19,7,36.8,12,63.2,478,2187,842,15,19,2,16,9,550,30
ENG-Premier League,2425,Everton,James Tarkowski,ENG,DF,31,1992,32.5,1706,355,974,635,106,57,1706,7,5,71.4,2,28.6,727,3610,1943,9,10,0,13,7,927,3
ENG-Premier League,2425,Everton,Jarrad Branthwaite,ENG,DF,22,2002,27.9,1520,211,783,676,69,28,1520,6,3,50.0,2,33.3,747,4143,2515,10,14,2,8,4,894,2
ENG-Premier League,2425,Everton,Jesper Lindstrøm,DEN,FW,24,2000,13.8,625,22,127,206,303,40,625,43,8,18.6,31,72.1,302,1627,780,30,19,7,31,24,347,81
ENG-Premier League,2425,Everton,Jordan Pickford,ENG,GK,30,1994,38.0,1708,1116,1640,69,0,0,1708,0,0,,0,,989,5989,3568,0,0,0,2,0,871,0
ENG-Premier League,2425,Everton,Mason Holgate,JAM,"FW,DF",27,1996,0.1,3,0,0,2,1,0,3,0,0,,0,,1,0,0,0,0,0,1,0,1,0
ENG-Premier League,2425,Everton,Michael Keane,ENG,DF,31,1993,11.7,513,106,295,198,22,17,513,1,0,0.0,1,100.0,229,904,290,1,1,0,2,2,286,3
ENG-Premier League,2425,Everton,Nathan Patterson,SCO,DF,22,2001,3.9,215,11,52,90,75,5,215,12,9,75.0,2,16.7,95,420,216,6,5,2,4,2,117,18
ENG-Premier League,2425,Everton,Orel Mangala,BEL,MF,26,1998,14.0,621,22,133,335,157,13,621,24,14,58.3,9,37.5,298,1574,576,6,6,3,12,12,406,19
ENG-Premier League,2425,Everton,Roman Dixon,ENG,DF,19,2004,1.0,36,8,19,14,4,0,36,3,0,0.0,3,100.0,16,107,48,0,0,0,2,0,13,1
ENG-Premier League,2425,Everton,Séamus Coleman,IRL,DF,35,1988,2.4,121,12,42,54,26,3,121,5,4,80.0,1,20.0,54,310,177,1,2,0,1,1,68,7
ENG-Premier League,2425,Everton,Tim Iroegbunam,ENG,MF,21,2003,6.4,269,24,89,127,60,12,269,20,8,40.0,8,40.0,127,744,379,8,10,2,11,18,113,9
ENG-Premier League,2425,Everton,Vitaliy Mykolenko,UKR,DF,25,1999,34.2,1678,125,525,713,452,32,1678,20,8,40.0,9,45.0,697,2825,1506,33,28,1,23,11,860,99
ENG-Premier League,2425,Everton,Youssef Chermiti,POR,"FW,MF",20,2004,0.5,15,0,0,6,9,3,15,1,1,100.0,0,0.0,7,21,2,0,0,0,0,1,13,6
ENG-Premier League,2425,Fulham,Adama Traoré,ESP,"FW,MF",28,1996,19.7,801,4,83,285,455,91,801,97,48,49.5,36,37.1,538,4631,2486,100,45,33,37,25,607,161
ENG-Premier League,2425,Fulham,Alex Iwobi,NGA,"FW,MF",28,1996,33.1,1861,33,244,748,895,116,1861,97,48,49.5,42,43.3,1312,8012,4367,144,105,37,62,40,1447,246
ENG-Premier League,2425,Fulham,Andreas Pereira,BRA,MF,28,1996,22.4,1148,22,169,466,531,46,1147,30,14,46.7,8,26.7,578,2764,1341,29,38,9,29,22,676,81
ENG-Premier League,2425,Fulham,Antonee Robinson,USA,DF,26,1997,35.2,2523,139,828,942,788,70,2523,83,38,45.8,34,41.0,1343,7361,4230,118,61,30,44,20,1509,274
ENG-Premier League,2425,Fulham,Bernd Leno,GER,GK,32,1992,38.0,1479,1190,1466,13,0,0,1479,0,0,,0,,955,3956,2233,0,0,0,0,0,862,0
ENG-Premier League,2425,Fulham,Calvin Bassey,NGA,DF,24,1999,34.2,2463,324,1205,1151,132,19,2463,33,15,45.5,11,33.3,1571,8212,4940,39,20,5,34,8,1716,15
ENG-Premier League,2425,Fulham,Carlos Vinícius,BRA,"MF,FW",29,1995,0.2,7,0,1,3,3,2,7,1,1,100.0,0,0.0,7,24,11,1,0,1,1,0,6,3
ENG-Premier League,2425,Fulham,Emile Smith Rowe,ENG,MF,24,2000,22.7,1223,20,166,591,476,60,1223,35,16,45.7,16,45.7,779,3728,1932,53,40,12,36,18,940,127
ENG-Premier League,2425,Fulham,Harrison Reed,ENG,MF,29,1995,1.2,78,2,11,28,40,5,78,2,0,0.0,1,50.0,31,95,27,1,1,0,2,2,38,7
ENG-Premier League,2425,Fulham,Harry Wilson,WAL,"FW,MF",27,1997,12.9,598,11,81,203,324,63,598,24,9,37.5,10,41.7,342,1879,864,22,18,11,19,6,390,96
ENG-Premier League,2425,Fulham,Issa Diop,FRA,DF,27,1997,14.9,903,125,498,381,26,13,903,2,1,50.0,1,50.0,533,2426,1216,6,2,0,9,2,617,3
ENG-Premier League,2425,Fulham,Jay Stansfield,ENG,MF,21,2002,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0
ENG-Premier League,2425,Fulham,Joachim Andersen,DEN,DF,28,1996,28.7,2336,340,1233,1013,102,22,2336,6,4,66.7,0,0.0,1350,6505,3435,16,14,1,6,3,1621,2
ENG-Premier League,2425,Fulham,Jorge Cuenca,ESP,DF,24,1999,3.9,214,38,134,74,7,1,214,2,2,100.0,0,0.0,89,302,140,0,1,0,2,0,133,0
ENG-Premier League,2425,Fulham,Joshua King,ENG,MF,17,2007,1.4,87,2,12,31,46,10,87,8,4,50.0,4,50.0,44,335,138,3,4,0,1,6,60,16
ENG-Premier League,2425,Fulham,Kenny Tete,NED,DF,28,1995,19.7,1205,79,402,484,329,37,1205,20,9,45.0,6,30.0,611,2851,1336,34,21,7,17,10,695,54
ENG-Premier League,2425,Fulham,Martial Godo,ENG,"FW,DF",21,2003,0.3,25,0,1,7,17,7,25,4,1,25.0,3,75.0,18,155,87,2,0,2,0,0,15,6
ENG-Premier League,2425,Fulham,Raúl Jiménez,MEX,FW,33,1991,27.7,999,35,120,431,464,165,996,50,21,42.0,26,52.0,549,2557,1112,35,24,17,74,45,734,125
ENG-Premier League,2425,Fulham,Reiss Nelson,ENG,FW,24,1999,5.4,347,5,30,110,212,35,347,35,13,37.1,13,37.1,259,1956,960,45,25,21,14,8,274,63
ENG-Premier League,2425,Fulham,Rodrigo Muniz,BRA,FW,23,2001,10.7,311,14,27,161,127,55,311,18,6,33.3,9,50.0,157,651,187,6,4,3,47,24,237,31
ENG-Premier League,2425,Fulham,Ryan Sessegnon,ENG,"FW,DF",24,2000,6.4,363,15,88,131,149,45,363,21,8,38.1,10,47.6,180,1054,549,18,14,10,19,8,210,59
ENG-Premier League,2425,Fulham,Sander Berge,NOR,MF,26,1998,24.7,1384,81,374,799,217,14,1384,20,11,55.0,6,30.0,804,4467,2065,29,25,2,15,16,892,9
ENG-Premier League,2425,Fulham,Saša Lukić,SRB,MF,27,1996,26.0,1493,57,332,843,331,21,1493,17,8,47.1,5,29.4,825,4427,2190,39,40,4,23,8,963,33
ENG-Premier League,2425,Fulham,Timothy Castagne,BEL,DF,28,1995,18.3,1164,92,449,462,259,32,1164,12,5,41.7,5,41.7,547,2191,1044,17,15,2,15,5,665,67
ENG-Premier League,2425,Fulham,Tom Cairney,SCO,MF,33,1991,7.0,683,12,123,347,223,18,683,13,5,38.5,4,30.8,456,2179,1047,18,17,4,6,4,553,33
ENG-Premier League,2425,Fulham,Willian,BRA,"FW,MF",35,1988,2.9,231,1,18,83,134,7,231,7,1,14.3,4,57.1,148,1005,503,11,10,2,3,1,183,33
ENG-Premier League,2425,Ipswich Town,Alex Palmer,ENG,GK,27,1996,13.0,470,396,461,10,0,0,470,0,0,,0,,210,1205,750,0,0,0,2,0,170,0
ENG-Premier League,2425,Ipswich Town,Ali Al Hamadi,IRQ,FW,22,2002,1.5,53,2,6,20,30,9,53,7,4,57.1,3,42.9,29,187,111,4,3,4,7,4,36,14
ENG-Premier League,2425,Ipswich Town,Arijanet Muric,KVX,GK,25,1998,18.0,689,559,672,18,0,0,689,0,0,,0,,405,2088,1178,0,0,0,3,1,321,0
ENG-Premier League,2425,Ipswich Town,Axel Tuanzebe,COD,DF,26,1997,19.0,971,97,407,426,145,8,971,10,4,40.0,6,60.0,402,1698,826,10,7,1,11,1,516,15
ENG-Premier League,2425,Ipswich Town,Ben Godfrey,ENG,DF,26,1998,1.8,68,6,26,33,9,1,68,0,0,,0,,33,202,79,2,2,0,2,1,42,1
ENG-Premier League,2425,Ipswich Town,Ben Johnson,ENG,"DF,FW",24,2000,15.0,626,60,246,220,163,12,626,24,8,33.3,14,58.3,259,1503,585,16,12,3,23,17,292,33
ENG-Premier League,2425,Ipswich Town,Cameron Burgess,AUS,DF,28,1995,17.1,982,248,609,327,48,24,982,0,0,,0,,430,1965,1002,2,4,0,3,0,573,4
ENG-Premier League,2425,Ipswich Town,Chiedozie Ogbene,IRL,FW,27,1997,2.6,70,3,11,19,40,6,70,7,1,14.3,3,42.9,41,330,139,7,2,2,4,2,43,15
ENG-Premier League,2425,Ipswich Town,Christian Walton,ENG,GK,28,1995,7.0,272,248,271,1,0,0,272,0,0,,0,,143,699,384,0,0,0,0,0,131,0
ENG-Premier League,2425,Ipswich Town,Conor Chaplin,ENG,"MF,FW",27,1997,9.5,390,7,74,183,138,18,390,8,4,50.0,4,50.0,179,910,467,13,9,0,12,5,264,23
ENG-Premier League,2425,Ipswich Town,Conor Townsend,ENG,DF,31,1993,3.7,172,28,87,50,38,5,172,0,0,,0,,53,278,136,2,2,0,2,2,75,13
ENG-Premier League,2425,Ipswich Town,Dara O'Shea,IRL,DF,25,1999,34.7,2022,393,1169,730,129,51,2022,2,1,50.0,1,50.0,897,4023,2069,3,2,0,12,4,1162,8
ENG-Premier League,2425,Ipswich Town,George Edmundson,ENG,DF,26,1997,0.0,3,1,3,0,0,0,3,0,0,,0,,1,2,0,0,0,0,0,0,1,0
ENG-Premier League,2425,Ipswich Town,George Hirst,SCO,FW,25,1999,7.3,188,12,28,61,101,28,188,6,2,33.3,3,50.0,101,529,211,9,2,7,21,16,161,31
ENG-Premier League,2425,Ipswich Town,Harry Clarke,ENG,DF,23,2001,4.2,268,18,100,122,47,2,268,2,1,50.0,1,50.0,118,555,222,5,7,0,4,2,163,2
ENG-Premier League,2425,Ipswich Town,Jack Clarke,ENG,"FW,MF",23,2000,13.1,553,24,125,229,215,38,553,50,25,50.0,18,36.0,311,2356,1217,39,21,12,25,22,338,57
ENG-Premier League,2425,Ipswich Town,Jack Taylor,IRL,MF,26,1998,9.6,534,32,161,281,103,8,534,11,4,36.4,4,36.4,254,1506,791,11,10,1,10,6,345,23
ENG-Premier League,2425,Ipswich Town,Jacob Greaves,ENG,DF,23,2000,24.5,1404,276,746,568,95,22,1404,6,4,66.7,1,16.7,619,2881,1268,11,11,0,10,2,851,11
ENG-Premier League,2425,Ipswich Town,Jaden Philogene Bidace,ENG,"FW,DF",22,2002,5.3,220,10,53,68,101,18,220,18,5,27.8,11,61.1,127,862,305,13,3,5,11,10,133,36
ENG-Premier League,2425,Ipswich Town,Jens Cajuste,SWE,MF,24,1999,21.8,1017,61,286,530,217,15,1017,53,28,52.8,19,35.8,481,2609,1329,26,23,3,23,17,594,20
ENG-Premier League,2425,Ipswich Town,Julio Enciso,PAR,"MF,FW",20,2004,9.7,406,5,52,202,167,23,406,66,30,45.5,28,42.4,205,1537,793,23,25,9,24,30,262,44
ENG-Premier League,2425,Ipswich Town,Kalvin Phillips,ENG,MF,28,1995,13.7,739,61,223,398,122,5,739,12,5,41.7,6,50.0,310,1489,569,4,5,0,25,10,394,4
ENG-Premier League,2425,Ipswich Town,Leif Davis,ENG,DF,24,2000,30.5,1562,117,534,520,527,42,1562,38,13,34.2,18,47.4,708,3698,2073,52,31,11,37,16,835,137
ENG-Premier League,2425,Ipswich Town,Liam Delap,ENG,FW,21,2003,28.8,682,29,78,291,335,92,680,86,40,46.5,37,43.0,445,3283,1586,61,46,30,104,60,537,110
ENG-Premier League,2425,Ipswich Town,Luke Woolfenden,ENG,DF,25,1998,13.2,694,147,407,278,9,3,694,0,0,,0,,368,2118,1249,7,3,0,4,0,442,0
ENG-Premier League,2425,Ipswich Town,Marcus Harness,ENG,MF,28,1996,0.5,22,4,7,2,13,3,22,1,0,0.0,1,100.0,9,49,14,0,0,0,0,0,9,1
ENG-Premier League,2425,Ipswich Town,Massimo Luongo,AUS,MF,31,1992,2.2,87,9,34,33,20,2,87,0,0,,0,,46,184,27,0,0,0,2,3,50,1
ENG-Premier League,2425,Ipswich Town,Nathan Broadhead,WAL,"MF,FW",26,1998,7.8,317,7,41,161,126,21,317,34,17,50.0,15,44.1,174,1238,584,20,16,5,19,15,222,33
ENG-Premier League,2425,Ipswich Town,Omari Hutchinson,ENG,"MF,FW",20,2003,28.7,1259,17,200,516,567,92,1259,137,51,37.2,68,49.6,779,6035,2976,97,39,37,80,58,893,159
ENG-Premier League,2425,Ipswich Town,Sam Morsy,EGY,MF,32,1991,30.6,1683,97,498,953,248,6,1683,29,17,58.6,9,31.0,852,4649,2101,22,24,3,17,13,1137,13
ENG-Premier League,2425,Ipswich Town,Sammie Szmodics,IRL,"FW,MF",28,1995,11.0,318,17,80,125,119,33,318,12,4,33.3,6,50.0,179,1003,407,16,8,7,24,17,193,47
ENG-Premier League,2425,Ipswich Town,Wes Burns,WAL,"FW,DF",29,1994,10.3,350,21,69,129,160,18,350,24,9,37.5,14,58.3,216,1458,696,38,13,10,17,13,220,65
